Clube;Plantel;ø Idade;Estrangeiros;ø Valor de Mercado;Valor de Mercado Total;Temporada;Pontos;Situacao;Status
São Paulo;45;25;6;3,33;149,65;2014;70;Top4;1
Corinthians;44;24;5;1,99;87,55;2014;69;Top4;1
Santos;49;23;6;1,5;73,4;2014;53;SerieA;2
Atlético Mineiro;55;25;2;1,16;63,85;2014;62;Top4;1
Fluminense;43;23;2;1,13;48,8;2014;61;SerieA;2
Palmeiras;55;23;8;0,856;47,1;2014;40;SerieA;2
Grêmio;63;22;6;0,738;46,5;2014;61;SerieA;2
Flamengo;47;24;6;0,952;44,75;2014;52;SerieA;2
Cruzeiro;44;24;4;0,99;43,55;2014;80;Top4;1
Internacional;60;22;5;0,586;35,15;2014;69;SerieA;2
Botafogo;51;24;6;0,555;28,3;2014;34;Rebaixado;0
Vitória;69;24;8;0,367;25,3;2014;38;Rebaixado;0
Coritiba;54;24;6;0,43;23,2;2014;47;SerieA;2
Sport Recife;65;24;3;0,347;22,58;2014;52;SerieA;2
Bahia;62;24;6;0,341;21,15;2014;37;Rebaixado;0
Criciúma;73;25;1;0,232;16,95;2014;32;Rebaixado;0
Figueirense;51;24;2;0,223;11,35;2014;47;SerieA;2
Atlético Paranaense;46;22;3;0,19;8,75;2014;54;SerieA;2
Goiás;40;23;0;0,155;6,2;2014;47;SerieA;2
Chapecoense;44;25;1;0,126;5,53;2014;43;SerieA;2
São Paulo;49;24;5;1,86;91,15;2015;62;Top4;1
Internacional;57;23;5;1,2;68,25;2015;60;SerieA;2
Palmeiras;54;24;7;1,23;66,45;2015;58;SerieA;2
Cruzeiro;48;24;6;1,35;64,7;2015;52;SerieA;2
Fluminense;60;24;3;0,99;59,4;2015;47;SerieA;2
Corinthians;44;24;5;1,23;54;2015;81;Top4;1
Atlético Mineiro;44;25;3;1,16;50,88;2015;69;SerieA;2
Grêmio;56;22;7;0,87;48,73;2015;68;SerieA;2
Flamengo;43;24;7;0,905;38,9;2015;49;SerieA;2
Santos;46;23;4;0,735;33,83;2015;58;SerieA;2
Vasco da;55;25;8;0,551;30,3;2015;41;Rebaixado;0
Sport Recife;49;23;0;0,379;18,55;2015;59;SerieA;2
Coritiba;55;24;1;0,303;16,65;2015;44;SerieA;2
Figueirense;54;23;1;0,264;14,25;2015;43;SerieA;2
Atlético Paranaense;54;22;5;0,261;14,1;2015;51;SerieA;2
Avaí;51;24;3;0,22;11,2;2015;42;SerieA;2
Ponte Preta;65;23;0;0,154;10;2015;51;SerieA;2
Chapecoense;45;26;0;0,209;9,4;2015;47;SerieA;2
Goiás;61;23;0;0,13;7,9;2015;38;Rebaixado;0
Joinville;63;24;1;0,086;5,4;2015;31;Rebaixado;0
Flamengo;42;24;6;1,47;61,9;2016;71;Top4;1
